Make,Model,Year,Engine Fuel Type,Engine HP,Engine Cylinders,Transmission Type,Driven_Wheels,Number of Doors,Market Category,Vehicle Size,Vehicle Style,highway MPG,city mpg,Popularity,MSRP
Subaru,Outback,2017,regular unleaded,175.0,4.0,AUTOMATIC,all wheel drive,4.0,Crossover,Midsize,4dr SUV,32,25,640,25645
Mazda,3,2015,regular unleaded,155.0,4.0,MANUAL,front wheel drive,4.0,Hatchback,Compact,4dr Hatchback,40,29,586,23245
Hyundai,Tucson,2015,regular unleaded,164.0,4.0,AUTOMATIC,front wheel drive,4.0,Crossover,Compact,4dr SUV,29,23,1439,21650
Mazda,Mazdaspeed 6,2006,premium unleaded (required),274.0,4.0,MANUAL,all wheel drive,4.0,"Factory Tuner,Performance",Midsize,Sedan,23,17,586,27995
Aston Martin,V8 Vantage,2015,premium unleaded (required),430.0,8.0,MANUAL,rear wheel drive,2.0,"Exotic,High-Performance",Compact,Coupe,19,13,259,98200
Dodge,Charger,2017,regular unleaded,292.0,6.0,AUTOMATIC,all wheel drive,4.0,,Large,Sedan,27,18,1851,31995
Scion,xB,2014,regular unleaded,158.0,4.0,AUTOMATIC,front wheel drive,4.0,,Compact,Wagon,28,22,105,17920
Ford,Contour,2000,regular unleaded,170.0,6.0,MANUAL,front wheel drive,4.0,,Midsize,Sedan,27,18,5657,2000
Chevrolet,Silverado 1500,2017,regular unleaded,355.0,8.0,AUTOMATIC,four wheel drive,4.0,Flex Fuel,Large,Crew Cab Pickup,22,16,1385,43950
Ford,Explorer Sport,2003,regular unleaded,203.0,6.0,AUTOMATIC,rear wheel drive,2.0,,Midsize,2dr SUV,19,14,5657,25595
Chevrolet,C/K 2500 Series,1998,regular unleaded,255.0,8.0,MANUAL,rear wheel drive,2.0,,Large,Extended Cab Pickup,18,12,1385,3068
Chevrolet,TrailBlazer,2007,premium unleaded (required),395.0,8.0,AUTOMATIC,all wheel drive,4.0,"Factory Tuner,Performance",Midsize,4dr SUV,16,12,1385,37125
Suzuki,Sidekick,1997,regular unleaded,120.0,4.0,MANUAL,four wheel drive,4.0,,Compact,4dr SUV,23,19,481,2002
Ford,Freestyle,2006,regular unleaded,203.0,6.0,AUTOMATIC,front wheel drive,4.0,Crossover,Large,Wagon,25,18,5657,28530
BMW,3 Series,2015,diesel,180.0,4.0,AUTOMATIC,rear wheel drive,4.0,"Diesel,Luxury",Midsize,Sedan,45,32,3916,39000
Ford,F-150,2015,flex-fuel (unleaded/E85),385.0,8.0,AUTOMATIC,rear wheel drive,4.0,Flex Fuel,Large,Crew Cab Pickup,22,15,5657,51885
BMW,4 Series,2017,premium unleaded (recommended),248.0,4.0,AUTOMATIC,all wheel drive,2.0,Luxury,Midsize,Convertible,32,22,3916,52300
Lamborghini,Gallardo,2012,premium unleaded (required),550.0,10.0,AUTOMATED_MANUAL,rear wheel drive,2.0,"Exotic,High-Performance",Compact,Coupe,20,13,1158,191900
Hyundai,Veracruz,2011,regular unleaded,260.0,6.0,AUTOMATIC,front wheel drive,4.0,Crossover,Midsize,4dr SUV,22,17,1439,34395
Ford,Fiesta,2015,regular unleaded,120.0,4.0,MANUAL,front wheel drive,4.0,,Compact,Sedan,36,28,5657,14455
FIAT,500X,2016,regular unleaded,180.0,4.0,AUTOMATIC,front wheel drive,4.0,Crossover,Compact,4dr SUV,31,22,819,23335
Dodge,Dart,2016,regular unleaded,160.0,4.0,MANUAL,front wheel drive,4.0,,Midsize,Sedan,39,27,1851,21095
Mazda,3,2016,regular unleaded,184.0,4.0,AUTOMATIC,front wheel drive,4.0,Performance,Compact,Sedan,39,28,586,25795
Infiniti,M,2012,premium unleaded (recommended),360.0,6.0,AUTOMATIC,rear wheel drive,4.0,"Luxury,Hybrid",Large,Sedan,32,27,190,53700
Oldsmobile,Silhouette,2002,regular unleaded,185.0,6.0,AUTOMATIC,all wheel drive,4.0,,Midsize,Passenger Minivan,22,16,26,33925
Bentley,Flying Spur,2015,flex-fuel (premium unleaded required/E85),616.0,12.0,AUTOMATIC,all wheel drive,4.0,"Exotic,Flex Fuel,Luxury,High-Performance",Large,Sedan,20,12,520,215800
Toyota,Camry Solara,2007,regular unleaded,210.0,6.0,AUTOMATIC,front wheel drive,2.0,,Midsize,Convertible,26,18,2031,30460
Ford,Festiva,1991,regular unleaded,63.0,4.0,MANUAL,front wheel drive,2.0,Hatchback,Compact,2dr Hatchback,38,30,5657,2000
Saab,9000,1997,regular unleaded,210.0,6.0,AUTOMATIC,front wheel drive,4.0,"Hatchback,Luxury",Midsize,4dr Hatchback,24,16,376,2122
Toyota,Tundra,2016,flex-fuel (unleaded/E85),381.0,8.0,AUTOMATIC,four wheel drive,4.0,Flex Fuel,Large,Extended Cab Pickup,17,13,2031,42945
Volvo,XC60,2015,regular unleaded,240.0,4.0,AUTOMATIC,front wheel drive,4.0,"Crossover,Luxury",Midsize,4dr SUV,31,24,870,39650
Alfa Romeo,4C,2016,premium unleaded (required),237.0,4.0,AUTOMATED_MANUAL,rear wheel drive,2.0,"Luxury,High-Performance",Compact,Convertible,34,24,113,65900
Suzuki,Sidekick,1998,regular unleaded,120.0,4.0,MANUAL,four wheel drive,4.0,,Compact,4dr SUV,23,20,481,2125
Volkswagen,CC,2015,premium unleaded (recommended),200.0,4.0,MANUAL,front wheel drive,4.0,Performance,Midsize,Sedan,32,21,873,32995
GMC,Canyon,2015,regular unleaded,200.0,4.0,MANUAL,rear wheel drive,4.0,,Compact,Extended Cab Pickup,26,19,549,20995
Volkswagen,Vanagon,1990,regular unleaded,90.0,4.0,MANUAL,four wheel drive,3.0,,Large,Passenger Minivan,15,14,873,2000
Pontiac,Grand Am,2003,regular unleaded,175.0,6.0,AUTOMATIC,front wheel drive,2.0,,Midsize,Coupe,27,18,210,22940
Volkswagen,Jetta,2015,regular unleaded,170.0,4.0,AUTOMATIC,front wheel drive,4.0,,Midsize,Sedan,37,25,873,23650
Land Rover,Range Rover Sport,2014,flex-fuel (premium unleaded required/E85),510.0,8.0,AUTOMATIC,four wheel drive,4.0,"Flex Fuel,Luxury,High-Performance",Midsize,4dr SUV,19,14,258,92400
Nissan,Frontier,2017,regular unleaded,261.0,6.0,AUTOMATIC,four wheel drive,4.0,,Compact,Crew Cab Pickup,21,15,2009,27650
Buick,Skylark,1996,regular unleaded,150.0,4.0,AUTOMATIC,front wheel drive,2.0,,Midsize,Coupe,29,19,155,2000
Audi,A8,2016,diesel,240.0,6.0,AUTOMATIC,all wheel drive,4.0,"Diesel,Luxury",Large,Sedan,36,24,3105,85200
Infiniti,EX35,2009,premium unleaded (recommended),297.0,6.0,AUTOMATIC,all wheel drive,4.0,"Crossover,Luxury",Midsize,4dr SUV,23,16,190,35200
BMW,8 Series,1996,regular unleaded,282.0,8.0,AUTOMATIC,rear wheel drive,2.0,"Luxury,Performance",Midsize,Coupe,19,14,3916,5680
Mazda,Mazdaspeed 3,2011,premium unleaded (required),263.0,4.0,MANUAL,front wheel drive,4.0,"Hatchback,Factory Tuner,Performance",Compact,4dr Hatchback,25,18,586,23700
Mitsubishi,Montero Sport,2002,regular unleaded,165.0,6.0,AUTOMATIC,rear wheel drive,4.0,,Midsize,4dr SUV,21,16,436,25637
Mercedes-Benz,CLK-Class,2008,premium unleaded (required),268.0,6.0,AUTOMATIC,rear wheel drive,2.0,"Luxury,Performance",Compact,Coupe,25,17,617,46450
Infiniti,QX80,2016,premium unleaded (recommended),400.0,8.0,AUTOMATIC,rear wheel drive,4.0,Luxury,Large,4dr SUV,20,14,190,63250
BMW,4 Series,2017,premium unleaded (recommended),320.0,6.0,AUTOMATIC,all wheel drive,2.0,"Luxury,Performance",Midsize,Coupe,31,21,3916,50500
Hyundai,Veracruz,2010,regular unleaded,260.0,6.0,AUTOMATIC,front wheel drive,4.0,Crossover,Midsize,4dr SUV,23,17,1439,28145
Kia,Spectra,2008,regular unleaded,138.0,4.0,MANUAL,front wheel drive,4.0,,Compact,Sedan,30,23,1720,15995
Volkswagen,Beetle,2015,regular unleaded,170.0,4.0,AUTOMATIC,front wheel drive,2.0,Hatchback,Compact,2dr Hatchback,33,25,873,26195
Acura,Vigor,1993,regular unleaded,176.0,5.0,MANUAL,front wheel drive,4.0,Luxury,Midsize,Sedan,24,18,204,2000
Acura,MDX,2016,premium unleaded (recommended),290.0,6.0,AUTOMATIC,front wheel drive,4.0,"Crossover,Luxury",Midsize,4dr SUV,27,20,204,53230
Lincoln,Navigator,2016,regular unleaded,380.0,6.0,AUTOMATIC,rear wheel drive,4.0,Luxury,Large,4dr SUV,20,15,61,65560
Lincoln,Navigator,2015,regular unleaded,365.0,6.0,AUTOMATIC,rear wheel drive,4.0,Luxury,Large,4dr SUV,20,15,61,63645
Lexus,LS 460,2017,premium unleaded (required),386.0,8.0,AUTOMATIC,rear wheel drive,4.0,"Luxury,Performance",Large,Sedan,24,16,454,78820
Bugatti,Veyron 16.4,2009,premium unleaded (required),1001.0,16.0,AUTOMATED_MANUAL,all wheel drive,2.0,"Exotic,High-Performance",Compact,Coupe,14,8,820,1705769
Volkswagen,Passat,2015,regular unleaded,170.0,4.0,AUTOMATIC,front wheel drive,4.0,,Midsize,Sedan,36,24,873,26280
Volkswagen,Beetle Convertible,2016,regular unleaded,170.0,4.0,AUTOMATIC,front wheel drive,2.0,,Compact,Convertible,34,25,873,25995
Infiniti,Q70,2016,premium unleaded (required),420.0,8.0,AUTOMATIC,all wheel drive,4.0,"Luxury,Performance",Large,Sedan,23,16,190,65350
GMC,Syclone,1991,regular unleaded,280.0,6.0,AUTOMATIC,all wheel drive,2.0,"Factory Tuner,Performance",Compact,Regular Cab Pickup,16,13,549,5667
Volkswagen,Routan,2012,flex-fuel (unleaded/E85),283.0,6.0,AUTOMATIC,front wheel drive,4.0,Flex Fuel,Midsize,Passenger Minivan,25,17,873,44280
Audi,A4,2015,premium unleaded (required),220.0,4.0,MANUAL,all wheel drive,4.0,Luxury,Midsize,Sedan,32,22,3105,36400
Subaru,Impreza,2017,regular unleaded,152.0,4.0,AUTOMATIC,all wheel drive,4.0,,Midsize,Sedan,38,28,640,24095
Honda,Pilot,2017,regular unleaded,280.0,6.0,AUTOMATIC,all wheel drive,4.0,Crossover,Midsize,4dr SUV,26,18,2202,39255
GMC,Sierra 1500,2015,flex-fuel (unleaded/E85),285.0,6.0,AUTOMATIC,rear wheel drive,4.0,Flex Fuel,Large,Extended Cab Pickup,24,18,549,36200
Ford,Explorer Sport Trac,2009,regular unleaded,292.0,8.0,AUTOMATIC,rear wheel drive,4.0,Crossover,Compact,Crew Cab Pickup,21,15,5657,31145
Ford,F-150,2016,flex-fuel (unleaded/E85),282.0,6.0,AUTOMATIC,four wheel drive,2.0,Flex Fuel,Large,Regular Cab Pickup,23,17,5657,31185
Ford,Transit Connect,2017,flex-fuel (unleaded/E85),169.0,4.0,AUTOMATIC,front wheel drive,4.0,,Compact,Cargo Minivan,27,20,5657,24425
Kia,Forte,2016,regular unleaded,145.0,4.0,MANUAL,front wheel drive,4.0,,Compact,Sedan,37,25,1720,15990
Toyota,4Runner,2015,regular unleaded,270.0,6.0,AUTOMATIC,rear wheel drive,4.0,,Midsize,4dr SUV,22,17,2031,35950
Ford,F-150,2017,flex-fuel (unleaded/E85),282.0,6.0,AUTOMATIC,rear wheel drive,2.0,Flex Fuel,Large,Regular Cab Pickup,25,18,5657,26840
Toyota,Tundra,2016,flex-fuel (unleaded/E85),381.0,8.0,AUTOMATIC,rear wheel drive,4.0,Flex Fuel,Large,Crew Cab Pickup,18,13,2031,46530
Chevrolet,Avalanche,2010,flex-fuel (unleaded/E85),320.0,8.0,AUTOMATIC,rear wheel drive,4.0,"Crossover,Flex Fuel",Large,Crew Cab Pickup,21,15,1385,38830
Ford,Explorer Sport Trac,2009,regular unleaded,210.0,6.0,AUTOMATIC,rear wheel drive,4.0,Crossover,Compact,Crew Cab Pickup,20,14,5657,29835
Mercedes-Benz,E-Class,2015,premium unleaded (required),329.0,6.0,AUTOMATIC,rear wheel drive,2.0,"Luxury,Performance",Midsize,Coupe,29,20,617,53350
Ferrari,F430,2009,premium unleaded (required),483.0,8.0,AUTOMATED_MANUAL,rear wheel drive,2.0,"Exotic,High-Performance",Compact,Convertible,16,11,2774,229447
Infiniti,Q50,2016,premium unleaded (required),208.0,4.0,AUTOMATIC,all wheel drive,4.0,Luxury,Midsize,Sedan,28,22,190,39650
Suzuki,XL7,2007,regular unleaded,252.0,6.0,AUTOMATIC,front wheel drive,4.0,Crossover,Midsize,4dr SUV,22,16,481,22999
Chevrolet,Corvette,2017,premium unleaded (recommended),460.0,8.0,MANUAL,rear wheel drive,2.0,High-Performance,Compact,Coupe,25,16,1385,70195
Oldsmobile,Cutlass Calais,1991,regular unleaded,180.0,4.0,MANUAL,front wheel drive,4.0,,Compact,Sedan,30,21,26,2000
Lincoln,Town Car,2011,flex-fuel (unleaded/E85),239.0,8.0,AUTOMATIC,rear wheel drive,4.0,"Flex Fuel,Luxury",Large,Sedan,24,16,61,47225
GMC,Vandura,1995,regular unleaded,165.0,6.0,AUTOMATIC,rear wheel drive,3.0,,Midsize,Cargo Van,20,15,549,2000
Dodge,Ram 50 Pickup,1991,regular unleaded,116.0,4.0,MANUAL,rear wheel drive,2.0,,Compact,Extended Cab Pickup,22,17,1851,2000
Toyota,RAV4,2016,regular unleaded,176.0,4.0,AUTOMATIC,front wheel drive,4.0,Crossover,Midsize,4dr SUV,31,24,2031,26270
Ford,Explorer Sport Trac,2009,regular unleaded,292.0,8.0,AUTOMATIC,four wheel drive,4.0,Crossover,Compact,Crew Cab Pickup,19,14,5657,29820
Cadillac,CTS,2017,regular unleaded,335.0,6.0,AUTOMATIC,rear wheel drive,4.0,"Luxury,High-Performance",Large,Sedan,30,20,1624,59195
Mazda,626,2001,regular unleaded,125.0,4.0,AUTOMATIC,front wheel drive,4.0,,Midsize,Sedan,25,19,586,20935
Honda,Element,2009,regular unleaded,166.0,4.0,AUTOMATIC,all wheel drive,4.0,Crossover,Compact,4dr SUV,24,19,2202,25285
Chevrolet,Colorado,2012,regular unleaded,185.0,4.0,AUTOMATIC,rear wheel drive,4.0,,Compact,Extended Cab Pickup,25,18,1385,22955
Mazda,3,2016,regular unleaded,184.0,4.0,MANUAL,front wheel drive,4.0,"Hatchback,Performance",Compact,4dr Hatchback,35,26,586,25445
Volvo,XC60,2015,regular unleaded,302.0,4.0,AUTOMATIC,front wheel drive,4.0,"Crossover,Luxury,Performance",Midsize,4dr SUV,30,22,870,40050
Ford,Escape Hybrid,2011,regular unleaded,177.0,4.0,AUTOMATIC,front wheel drive,4.0,"Crossover,Hybrid",Compact,4dr SUV,31,34,5657,30570
Nissan,350Z,2008,regular unleaded,306.0,6.0,MANUAL,rear wheel drive,2.0,"Factory Tuner,High-Performance",Compact,Coupe,25,18,2009,38680
Hyundai,Excel,1993,regular unleaded,81.0,4.0,MANUAL,front wheel drive,4.0,,Compact,Sedan,33,25,1439,2000
Volkswagen,GTI,2013,premium unleaded (recommended),200.0,4.0,MANUAL,front wheel drive,2.0,"Hatchback,Performance",Compact,2dr Hatchback,31,21,873,24200
Toyota,Corolla,2015,regular unleaded,132.0,4.0,MANUAL,front wheel drive,4.0,,Compact,Sedan,37,28,2031,16950
Dodge,Avenger,2013,regular unleaded,173.0,4.0,AUTOMATIC,front wheel drive,4.0,Flex Fuel,Midsize,Sedan,31,20,1851,22595
Ford,Escape,2017,regular unleaded,,4.0,AUTOMATIC,front wheel drive,4.0,Crossover,Compact,4dr SUV,30,23,5657,29100
Hyundai,Elantra,2016,regular unleaded,145.0,4.0,MANUAL,front wheel drive,4.0,,Compact,Sedan,37,27,1439,17250
Nissan,Titan,2015,regular unleaded,317.0,8.0,AUTOMATIC,four wheel drive,4.0,Flex Fuel,Large,Extended Cab Pickup,17,12,2009,34790
Mazda,5,2013,regular unleaded,157.0,4.0,AUTOMATIC,front wheel drive,4.0,,Compact,Passenger Minivan,28,22,586,24470
Saab,9-3,2011,premium unleaded (recommended),210.0,4.0,AUTOMATIC,all wheel drive,4.0,Luxury,Midsize,Sedan,27,17,376,32395
Acura,CL,2003,premium unleaded (required),260.0,6.0,AUTOMATIC,front wheel drive,2.0,"Factory Tuner,Luxury,Performance",Midsize,Coupe,27,17,204,30550
Toyota,4Runner,2014,regular unleaded,270.0,6.0,AUTOMATIC,rear wheel drive,4.0,,Midsize,4dr SUV,23,17,2031,41365
Volkswagen,Jetta SportWagen,2012,regular unleaded,170.0,5.0,AUTOMATIC,front wheel drive,4.0,,Compact,Wagon,31,24,873,24210
Pontiac,Grand Prix,2006,regular unleaded,260.0,6.0,AUTOMATIC,front wheel drive,4.0,,Midsize,Sedan,26,17,210,24330
Infiniti,QX80,2014,premium unleaded (recommended),400.0,8.0,AUTOMATIC,four wheel drive,4.0,Luxury,Large,4dr SUV,20,14,190,65800
Lamborghini,Gallardo,2014,premium unleaded (required),550.0,10.0,AUTOMATED_MANUAL,rear wheel drive,2.0,"Exotic,High-Performance",Compact,Convertible,20,12,1158,209500
Honda,Pilot,2015,regular unleaded,250.0,6.0,AUTOMATIC,four wheel drive,4.0,Crossover,Midsize,4dr SUV,24,17,2202,38970
GMC,Yukon Hybrid,2013,regular unleaded,332.0,8.0,AUTOMATIC,four wheel drive,4.0,"Luxury,Hybrid",Large,4dr SUV,23,20,549,64805
Mitsubishi,Lancer,2015,regular unleaded,168.0,4.0,MANUAL,front wheel drive,4.0,,Compact,Sedan,31,22,436,20595
Nissan,Pathfinder,2017,regular unleaded,284.0,6.0,AUTOMATIC,front wheel drive,4.0,Crossover,Large,4dr SUV,27,20,2009,30290
GMC,Savana Cargo,2014,flex-fuel (unleaded/E85),285.0,8.0,AUTOMATIC,rear wheel drive,3.0,Flex Fuel,Midsize,Cargo Van,17,11,549,32535
Plymouth,Voyager,1998,regular unleaded,150.0,6.0,AUTOMATIC,front wheel drive,4.0,,Midsize,Passenger Minivan,24,17,535,2000
Acura,RDX,2017,premium unleaded (recommended),279.0,6.0,AUTOMATIC,front wheel drive,4.0,"Crossover,Luxury",Midsize,4dr SUV,28,20,204,39270
Ford,Freestyle,2006,regular unleaded,203.0,6.0,AUTOMATIC,front wheel drive,4.0,Crossover,Large,Wagon,25,18,5657,25105
Oldsmobile,Ninety-Eight,1996,regular unleaded,205.0,6.0,AUTOMATIC,front wheel drive,4.0,,Large,Sedan,27,17,26,2000
Chevrolet,Venture,2004,regular unleaded,185.0,6.0,AUTOMATIC,all wheel drive,4.0,,Midsize,Passenger Minivan,22,16,1385,33625
Pontiac,Solstice,2009,premium unleaded (recommended),173.0,4.0,MANUAL,rear wheel drive,2.0,Performance,Compact,Convertible,25,19,210,24275
Tesla,Model S,2016,electric,,0.0,DIRECT_DRIVE,rear wheel drive,,"Exotic,Performance",Large,Sedan,100,97,1391,74500
Toyota,Tundra,2016,regular unleaded,381.0,8.0,AUTOMATIC,rear wheel drive,4.0,,Large,Crew Cab Pickup,18,13,2031,46530
Ford,Transit Wagon,2015,premium unleaded (recommended),310.0,6.0,AUTOMATIC,rear wheel drive,3.0,Diesel,Large,Passenger Van,19,14,5657,43795
Saab,9-3 Griffin,2012,premium unleaded (recommended),220.0,4.0,MANUAL,all wheel drive,4.0,Luxury,Compact,Wagon,30,20,376,34975
Volkswagen,GLI,2012,premium unleaded (recommended),200.0,4.0,MANUAL,front wheel drive,4.0,Performance,Midsize,Sedan,33,22,873,26695
Dodge,Viper,2017,premium unleaded (required),645.0,10.0,MANUAL,rear wheel drive,2.0,"Exotic,High-Performance",Compact,Coupe,19,12,1851,118795
Volkswagen,Jetta,2015,diesel,150.0,4.0,MANUAL,front wheel drive,4.0,Diesel,Midsize,Sedan,46,31,873,24075
GMC,Canyon,2015,regular unleaded,200.0,4.0,AUTOMATIC,rear wheel drive,4.0,,Compact,Crew Cab Pickup,27,20,549,31650
Dodge,Dakota,2010,regular unleaded,210.0,6.0,AUTOMATIC,four wheel drive,4.0,Flex Fuel,Compact,Extended Cab Pickup,18,14,1851,27880
Chevrolet,Impala,2015,flex-fuel (unleaded/natural gas),,6.0,AUTOMATIC,front wheel drive,4.0,"Flex Fuel,Performance",Large,Sedan,25,17,1385,40660
Dodge,Journey,2016,regular unleaded,173.0,4.0,AUTOMATIC,front wheel drive,4.0,Crossover,Midsize,4dr SUV,26,19,1851,27395
Chevrolet,Corvette,2017,premium unleaded (required),650.0,8.0,MANUAL,rear wheel drive,2.0,"Factory Tuner,High-Performance",Compact,Coupe,22,15,1385,79450
Honda,S2000,2008,premium unleaded (required),237.0,4.0,MANUAL,rear wheel drive,2.0,Performance,Compact,Convertible,25,18,2202,34300
Volkswagen,Golf GTI,2016,premium unleaded (recommended),210.0,4.0,AUTOMATED_MANUAL,front wheel drive,2.0,"Hatchback,Performance",Compact,2dr Hatchback,33,25,873,26095
Nissan,Frontier,2016,regular unleaded,261.0,6.0,MANUAL,four wheel drive,4.0,,Compact,Crew Cab Pickup,21,16,2009,28890
GMC,Envoy,2009,regular unleaded,300.0,8.0,AUTOMATIC,rear wheel drive,4.0,,Midsize,4dr SUV,21,15,549,36535
Suzuki,Sidekick,1997,regular unleaded,120.0,4.0,MANUAL,rear wheel drive,4.0,,Compact,4dr SUV,23,19,481,2000
Volkswagen,Jetta GLI,2014,premium unleaded (recommended),210.0,4.0,MANUAL,front wheel drive,4.0,Performance,Midsize,Sedan,33,23,873,24535
Nissan,Pathfinder,2017,regular unleaded,284.0,6.0,AUTOMATIC,four wheel drive,4.0,Crossover,Large,4dr SUV,26,19,2009,31980
Acura,RDX,2016,premium unleaded (recommended),279.0,6.0,AUTOMATIC,all wheel drive,4.0,"Crossover,Luxury",Midsize,4dr SUV,28,19,204,40570
Audi,TT RS,2012,premium unleaded (required),360.0,5.0,MANUAL,all wheel drive,2.0,"Factory Tuner,Luxury,High-Performance",Compact,Coupe,25,18,3105,56850
Dodge,Colt,1994,regular unleaded,113.0,4.0,MANUAL,front wheel drive,4.0,,Compact,Sedan,30,23,1851,2000
Hyundai,Santa Fe Sport,2017,regular unleaded,265.0,4.0,AUTOMATIC,all wheel drive,4.0,Crossover,Midsize,4dr SUV,24,19,1439,38250
Dodge,Journey,2015,regular unleaded,173.0,4.0,AUTOMATIC,front wheel drive,4.0,Crossover,Midsize,4dr SUV,26,19,1851,20695
Audi,100,1993,regular unleaded,172.0,6.0,MANUAL,front wheel drive,4.0,Luxury,Midsize,Sedan,24,17,3105,2000
Ford,Ranger,2009,regular unleaded,207.0,6.0,MANUAL,four wheel drive,4.0,,Compact,Extended Cab Pickup,19,15,5657,24255
Chevrolet,Tahoe,2017,flex-fuel (unleaded/E85),355.0,8.0,AUTOMATIC,four wheel drive,4.0,"Flex Fuel,Performance",Large,4dr SUV,22,16,1385,50215
Toyota,Tacoma,2017,regular unleaded,278.0,6.0,AUTOMATIC,four wheel drive,4.0,,Compact,Crew Cab Pickup,23,18,2031,32765
Porsche,Cayenne,2016,premium unleaded (required),570.0,8.0,AUTOMATIC,all wheel drive,4.0,"Crossover,Luxury,High-Performance",Midsize,4dr SUV,21,14,1715,157300
Toyota,Corolla,2016,regular unleaded,132.0,4.0,AUTOMATIC,front wheel drive,4.0,,Compact,Sedan,38,29,2031,22195
Honda,Pilot,2015,regular unleaded,250.0,6.0,AUTOMATIC,front wheel drive,4.0,Crossover,Midsize,4dr SUV,25,18,2202,35370
Toyota,Tundra,2016,regular unleaded,381.0,8.0,AUTOMATIC,four wheel drive,4.0,,Large,Crew Cab Pickup,17,13,2031,49580
Acura,MDX,2016,premium unleaded (recommended),290.0,6.0,AUTOMATIC,front wheel drive,4.0,"Crossover,Luxury",Midsize,4dr SUV,27,19,204,49440
Porsche,911,2015,premium unleaded (required),400.0,6.0,MANUAL,all wheel drive,2.0,"Luxury,High-Performance",Compact,Coupe,26,18,1715,105630
Cadillac,ATS,2016,premium unleaded (recommended),272.0,4.0,AUTOMATIC,rear wheel drive,4.0,"Luxury,Performance",Midsize,Sedan,31,22,1624,39340
