make,model,year,engine_fuel_type,engine_hp,engine_cylinders,transmission_type,driven_wheels,number_of_doors,market_category,vehicle_size,vehicle_style,highway_mpg,city_mpg,popularity
2844,chrysler,concorde,2003,regular_unleaded,234.0,6,automatic,front_wheel_drive,2,,large,sedan,25,17,1013
4482,ford,f-150,2015,flex-fuel_(unleaded/e85),385.0,6,automatic,four_wheel_drive,2,flex_fuel,large,extended_cab_pickup,21,15,5657
1641,chevrolet,aveo,2010,regular_unleaded,108.0,6,manual,front_wheel_drive,2,hatchback,compact,4dr_hatchback,35,27,1385
8507,honda,ridgeline,2017,regular_unleaded,280.0,6,automatic,all_wheel_drive,2,,large,crew_cab_pickup,25,18,2202
5345,volkswagen,gli,2012,premium_unleaded_(recommended),200.0,6,manual,front_wheel_drive,2,performance,midsize,sedan,33,22,873
3112,honda,crosstour,2014,regular_unleaded,192.0,6,automatic,front_wheel_drive,2,"crossover,hatchback",midsize,4dr_hatchback,31,22,2202
1098,audi,a6,2015,diesel,240.0,6,automatic,all_wheel_drive,2,"diesel,luxury",midsize,sedan,38,24,3105
5338,volkswagen,gli,2012,premium_unleaded_(recommended),200.0,6,automated_manual,front_wheel_drive,2,performance,midsize,sedan,32,24,873
3579,land_rover,discovery_series_ii,2002,premium_unleaded_(required),188.0,6,automatic,four_wheel_drive,2,luxury,midsize,4dr_suv,16,12,258
10316,scion,tc,2016,regular_unleaded,179.0,6,manual,front_wheel_drive,2,hatchback,compact,2dr_hatchback,31,23,105
1303,suzuki,aerio,2005,regular_unleaded,155.0,6,manual,front_wheel_drive,2,,compact,sedan,28,22,481
11040,toyota,tundra,2017,regular_unleaded,381.0,6,automatic,four_wheel_drive,2,,large,extended_cab_pickup,17,13,2031
4265,lotus,evora,2014,premium_unleaded_(required),345.0,6,manual,rear_wheel_drive,2,"exotic,high-performance",compact,coupe,26,17,613
2932,toyota,corolla,2015,regular_unleaded,132.0,6,automatic,front_wheel_drive,2,,compact,sedan,37,29,2031
9420,oldsmobile,silhouette,2002,regular_unleaded,185.0,6,automatic,front_wheel_drive,2,,midsize,passenger_minivan,24,17,26
2652,chevrolet,c/k_1500_series,1998,regular_unleaded,200.0,6,manual,rear_wheel_drive,2,,large,regular_cab_pickup,21,16,1385
10346,gmc,terrain,2015,regular_unleaded,182.0,6,automatic,front_wheel_drive,2,crossover,compact,4dr_suv,32,22,549
7032,nissan,murano,2015,regular_unleaded,260.0,6,automatic,front_wheel_drive,2,crossover,midsize,4dr_suv,28,21,2009
2833,plymouth,colt,1994,regular_unleaded,113.0,6,manual,front_wheel_drive,2,,compact,wagon,27,21,535
4139,cadillac,escalade_hybrid,2011,regular_unleaded,332.0,6,automatic,four_wheel_drive,2,"luxury,hybrid",large,4dr_suv,23,20,1624
4301,infiniti,ex,2011,premium_unleaded_(recommended),297.0,6,automatic,all_wheel_drive,2,"crossover,luxury,performance",midsize,4dr_suv,24,17,190
4477,ford,f-150,2015,flex-fuel_(unleaded/e85),282.0,6,automatic,four_wheel_drive,2,flex_fuel,large,regular_cab_pickup,23,17,5657
3205,cadillac,cts_coupe,2013,regular_unleaded,318.0,6,automatic,rear_wheel_drive,2,"luxury,performance",midsize,coupe,27,18,1624
8866,audi,s4,2014,premium_unleaded_(required),333.0,6,automated_manual,all_wheel_drive,2,"factory_tuner,luxury,high-performance",midsize,sedan,28,18,3105
7992,audi,r8,2017,premium_unleaded_(required),610.0,6,automated_manual,all_wheel_drive,2,"luxury,high-performance",compact,coupe,22,14,3105
3067,honda,cr-v,2016,regular_unleaded,185.0,6,automatic,front_wheel_drive,2,crossover,compact,4dr_suv,33,26,2202
3720,ford,e-series_van,2012,flex-fuel_(unleaded/e85),255.0,6,automatic,rear_wheel_drive,2,flex_fuel,large,cargo_van,16,12,5657
7543,volkswagen,phaeton,2004,premium_unleaded_(recommended),420.0,6,automatic,all_wheel_drive,2,"luxury,performance",large,sedan,17,11,873
8628,volkswagen,routan,2012,flex-fuel_(unleaded/e85),283.0,6,automatic,front_wheel_drive,2,flex_fuel,midsize,passenger_minivan,25,17,873
11629,volvo,xc90,2016,premium_unleaded_(recommended),316.0,6,automatic,all_wheel_drive,2,"crossover,luxury,performance",large,4dr_suv,25,20,870
8391,toyota,rav4,2016,regular_unleaded,176.0,6,automatic,all_wheel_drive,2,crossover,midsize,4dr_suv,29,22,2031
2655,chevrolet,c/k_1500_series,1998,regular_unleaded,230.0,6,manual,rear_wheel_drive,2,,large,extended_cab_pickup,18,13,1385
10383,ford,thunderbird,2005,premium_unleaded_(required),280.0,6,automatic,rear_wheel_drive,2,performance,midsize,convertible,22,16,5657
5090,infiniti,g_coupe,2012,premium_unleaded_(recommended),348.0,6,manual,rear_wheel_drive,2,"factory_tuner,luxury,high-performance",midsize,coupe,25,17,190
2585,honda,civic,2016,regular_unleaded,158.0,6,automatic,front_wheel_drive,2,,compact,coupe,41,30,2202
6349,toyota,land_cruiser,2017,regular_unleaded,381.0,6,automatic,four_wheel_drive,2,luxury,midsize,4dr_suv,18,13,2031
7494,honda,passport,2000,regular_unleaded,205.0,6,manual,rear_wheel_drive,2,,midsize,4dr_suv,18,15,2202
9754,chevrolet,sonic,2015,regular_unleaded,138.0,6,automatic,front_wheel_drive,2,,compact,sedan,35,25,1385
4292,lotus,exige,2009,premium_unleaded_(recommended),257.0,6,manual,rear_wheel_drive,2,"exotic,high-performance",compact,coupe,26,20,613
6661,chevrolet,malibu_maxx,2005,regular_unleaded,200.0,6,automatic,front_wheel_drive,2,hatchback,midsize,4dr_hatchback,28,20,1385
10044,chevrolet,suburban,2016,flex-fuel_(unleaded/e85),355.0,6,automatic,rear_wheel_drive,2,"flex_fuel,performance",large,4dr_suv,23,16,1385
6476,lexus,ls_430,2004,premium_unleaded_(required),290.0,6,automatic,rear_wheel_drive,2,"luxury,performance",large,sedan,23,16,454
7507,honda,passport,2002,regular_unleaded,205.0,6,manual,four_wheel_drive,2,,midsize,4dr_suv,19,15,2202
11848,gmc,yukon_xl,2015,premium_unleaded_(recommended),420.0,6,automatic,rear_wheel_drive,2,performance,large,4dr_suv,21,15,549
6869,lincoln,mks,2016,regular_unleaded,350.0,6,automatic,front_wheel_drive,2,"luxury,performance",large,sedan,26,17,61
2951,toyota,corolla,2017,regular_unleaded,132.0,6,automatic,front_wheel_drive,2,,compact,sedan,36,28,2031
10164,toyota,t100,1998,regular_unleaded,190.0,6,manual,four_wheel_drive,2,,large,extended_cab_pickup,18,15,2031
11718,suzuki,xl7,2008,regular_unleaded,252.0,6,automatic,all_wheel_drive,2,crossover,midsize,4dr_suv,22,15,481
10418,volkswagen,tiguan,2016,premium_unleaded_(recommended),200.0,6,automatic,front_wheel_drive,2,crossover,compact,4dr_suv,26,21,873
9874,chevrolet,spark,2015,regular_unleaded,84.0,6,automatic,front_wheel_drive,2,hatchback,compact,4dr_hatchback,39,30,1385
7466,volkswagen,passat,2015,regular_unleaded,170.0,6,automatic,front_wheel_drive,2,,midsize,sedan,36,24,873
3933,buick,enclave,2017,regular_unleaded,288.0,6,automatic,front_wheel_drive,2,crossover,midsize,4dr_suv,22,15,155
6344,mitsubishi,lancer,2017,regular_unleaded,148.0,6,automatic,front_wheel_drive,2,,compact,sedan,34,27,436
4331,ford,expedition,2017,regular_unleaded,365.0,6,automatic,four_wheel_drive,2,,large,4dr_suv,20,15,5657
5527,suzuki,grand_vitara,2013,regular_unleaded,166.0,6,manual,rear_wheel_drive,2,crossover,compact,4dr_suv,26,19,481
11183,volkswagen,vanagon,1990,regular_unleaded,90.0,6,automatic,rear_wheel_drive,2,,large,passenger_minivan,16,15,873
10858,nissan,truck,1996,regular_unleaded,134.0,6,manual,four_wheel_drive,2,,compact,regular_cab_pickup,18,15,2009
8320,land_rover,range_rover,2016,diesel,254.0,6,automatic,four_wheel_drive,2,"diesel,luxury",large,4dr_suv,29,22,258
6007,volkswagen,jetta_gli,2013,premium_unleaded_(recommended),210.0,6,manual,front_wheel_drive,2,performance,midsize,sedan,33,22,873
10685,ford,transit_connect,2017,flex-fuel_(unleaded/e85),169.0,6,automatic,front_wheel_drive,2,,compact,cargo_minivan,27,20,5657
6850,lincoln,mkc,2016,regular_unleaded,240.0,6,automatic,front_wheel_drive,2,"crossover,luxury",compact,4dr_suv,29,20,61
4474,ford,f-150,2015,flex-fuel_(unleaded/e85),385.0,6,automatic,four_wheel_drive,2,flex_fuel,large,crew_cab_pickup,21,15,5657
5748,toyota,highlander,2016,regular_unleaded,270.0,6,automatic,front_wheel_drive,2,crossover,midsize,4dr_suv,25,19,2031
255,mazda,323,1994,regular_unleaded,82.0,6,manual,front_wheel_drive,2,hatchback,compact,2dr_hatchback,33,25,586
1008,porsche,968,1993,regular_unleaded,236.0,6,manual,rear_wheel_drive,2,"luxury,performance",compact,convertible,24,15,1715
5252,hyundai,genesis_coupe,2015,premium_unleaded_(recommended),348.0,6,manual,rear_wheel_drive,2,high-performance,midsize,coupe,24,16,1439
5659,volkswagen,gti,2013,premium_unleaded_(recommended),200.0,6,manual,front_wheel_drive,2,"hatchback,performance",compact,4dr_hatchback,31,21,873
2181,chevrolet,camaro,2015,regular_unleaded,323.0,6,automatic,rear_wheel_drive,2,,midsize,coupe,30,19,1385
9963,cadillac,srx,2014,regular_unleaded,308.0,6,automatic,front_wheel_drive,2,"crossover,luxury",midsize,4dr_suv,24,17,1624
2042,cadillac,brougham,1990,regular_unleaded,140.0,6,automatic,rear_wheel_drive,2,luxury,large,sedan,22,15,1624
1494,cadillac,ats_coupe,2015,flex-fuel_(unleaded/e85),321.0,6,automatic,rear_wheel_drive,2,"flex_fuel,luxury,high-performance",compact,coupe,28,18,1624
7703,toyota,prius,2017,regular_unleaded,121.0,6,automatic,front_wheel_drive,2,"hatchback,hybrid",compact,4dr_hatchback,50,54,2031
706,mazda,6,2015,regular_unleaded,184.0,6,automatic,front_wheel_drive,2,,midsize,sedan,38,26,586
7590,toyota,pickup,1995,regular_unleaded,116.0,6,manual,rear_wheel_drive,2,,compact,regular_cab_pickup,25,19,2031
11741,cadillac,xt5,2017,premium_unleaded_(required),310.0,6,automatic,all_wheel_drive,2,"crossover,luxury",midsize,4dr_suv,26,18,1624
7774,infiniti,q50,2015,premium_unleaded_(recommended),328.0,6,automatic,rear_wheel_drive,2,"luxury,high-performance",midsize,sedan,29,20,190
2562,honda,civic,2015,regular_unleaded,143.0,6,manual,front_wheel_drive,2,,compact,coupe,36,28,2202
9925,kia,sportage,2016,regular_unleaded,182.0,6,automatic,front_wheel_drive,2,crossover,compact,4dr_suv,28,21,1720
4917,ford,freestar,2005,regular_unleaded,,6,automatic,front_wheel_drive,2,,midsize,passenger_minivan,22,16,5657
3856,hyundai,elantra,2015,regular_unleaded,173.0,6,automatic,front_wheel_drive,2,,compact,sedan,35,24,1439
6115,volkswagen,jetta,2015,diesel,150.0,6,manual,front_wheel_drive,2,diesel,midsize,sedan,46,31,873
4325,ford,expedition,2016,regular_unleaded,365.0,6,automatic,four_wheel_drive,2,,large,4dr_suv,20,14,5657
11746,nissan,xterra,2013,regular_unleaded,261.0,6,manual,four_wheel_drive,2,,midsize,4dr_suv,20,16,2009
8361,ford,ranger,2011,regular_unleaded,207.0,6,manual,four_wheel_drive,2,,compact,extended_cab_pickup,19,15,5657
5761,honda,hr-v,2017,regular_unleaded,141.0,6,automatic,all_wheel_drive,2,crossover,compact,4dr_suv,31,27,2202
9644,chevrolet,silverado_1500,2017,flex-fuel_(unleaded/e85),285.0,6,automatic,rear_wheel_drive,2,flex_fuel,large,regular_cab_pickup,24,18,1385
1768,subaru,b9_tribeca,2007,premium_unleaded_(required),245.0,6,automatic,all_wheel_drive,2,crossover,midsize,4dr_suv,21,16,640
9209,toyota,sienna,2015,regular_unleaded,266.0,6,automatic,all_wheel_drive,2,,large,passenger_minivan,23,16,2031
3344,mazda,cx-3,2016,regular_unleaded,146.0,6,automatic,front_wheel_drive,2,crossover,compact,4dr_suv,35,29,586
9318,gmc,sierra_1500,2015,flex-fuel_(unleaded/e85),285.0,6,automatic,four_wheel_drive,2,flex_fuel,large,crew_cab_pickup,22,17,549
6700,lincoln,mark_viii,1996,regular_unleaded,280.0,6,automatic,rear_wheel_drive,2,luxury,large,coupe,24,16,61
8081,dodge,ram_150,1993,regular_unleaded,180.0,6,manual,four_wheel_drive,2,,large,regular_cab_pickup,16,11,1851
3577,land_rover,discovery_series_ii,2001,premium_unleaded_(required),188.0,6,automatic,four_wheel_drive,2,luxury,midsize,4dr_suv,16,12,258
8801,gmc,s-15,1990,regular_unleaded,160.0,6,manual,four_wheel_drive,2,,compact,regular_cab_pickup,19,15,549
5892,subaru,impreza,2017,regular_unleaded,152.0,6,automatic,all_wheel_drive,2,hatchback,compact,4dr_hatchback,37,28,640
5945,dodge,intrepid,2003,regular_unleaded,244.0,6,automatic,front_wheel_drive,2,,large,sedan,25,17,1851
1711,mazda,b-series_pickup,2000,regular_unleaded,119.0,6,manual,rear_wheel_drive,2,,compact,extended_cab_pickup,24,20,586
8074,dodge,ram_150,1993,regular_unleaded,230.0,6,manual,rear_wheel_drive,2,,large,extended_cab_pickup,16,12,1851
9138,toyota,sequoia,2017,flex-fuel_(unleaded/e85),381.0,6,automatic,four_wheel_drive,2,flex_fuel,large,4dr_suv,17,13,2031
186,mercedes-benz,300-class,1993,regular_unleaded,217.0,6,automatic,rear_wheel_drive,2,luxury,midsize,coupe,22,17,617
10990,toyota,tundra,2016,flex-fuel_(unleaded/e85),381.0,6,automatic,rear_wheel_drive,2,flex_fuel,large,extended_cab_pickup,18,13,2031
1536,cadillac,ats,2015,flex-fuel_(unleaded/e85),321.0,6,automatic,all_wheel_drive,2,"flex_fuel,luxury,high-performance",compact,sedan,26,18,1624
11443,ford,windstar,2003,regular_unleaded,200.0,6,automatic,front_wheel_drive,2,,midsize,passenger_minivan,22,16,5657
4567,ford,f-150,2017,regular_unleaded,325.0,6,automatic,rear_wheel_drive,2,flex_fuel,large,extended_cab_pickup,26,19,5657
9604,chevrolet,silverado_1500,2017,flex-fuel_(unleaded/e85),285.0,6,automatic,rear_wheel_drive,2,flex_fuel,large,extended_cab_pickup,24,18,1385
21,audi,100,1992,regular_unleaded,172.0,6,manual,all_wheel_drive,2,luxury,midsize,sedan,21,16,3105
4006,gmc,envoy,2007,regular_unleaded,291.0,6,automatic,four_wheel_drive,2,,midsize,4dr_suv,20,14,549
4584,ford,f-150,2017,regular_unleaded,325.0,6,automatic,four_wheel_drive,2,flex_fuel,large,extended_cab_pickup,23,18,5657
8772,chevrolet,s-10,2003,flex-fuel_(unleaded/e85),120.0,6,manual,rear_wheel_drive,2,flex_fuel,compact,extended_cab_pickup,25,19,1385
1972,chevrolet,blazer,2003,regular_unleaded,190.0,6,automatic,four_wheel_drive,2,,midsize,4dr_suv,17,13,1385
7167,dodge,neon,2003,premium_unleaded_(required),215.0,6,manual,front_wheel_drive,2,"factory_tuner,performance",compact,sedan,27,19,1851
10488,acura,tl,2014,premium_unleaded_(recommended),280.0,6,automatic,front_wheel_drive,2,"luxury,performance",midsize,sedan,29,20,204
11121,volvo,v60,2015,regular_unleaded,325.0,6,automatic,all_wheel_drive,2,"luxury,high-performance",midsize,wagon,28,19,870
4803,suzuki,forenza,2006,regular_unleaded,126.0,6,manual,front_wheel_drive,2,,compact,sedan,28,20,481
2023,ford,bronco_ii,1990,regular_unleaded,140.0,6,manual,rear_wheel_drive,2,,compact,2dr_suv,20,16,5657
9505,chevrolet,silverado_1500,2015,regular_unleaded,355.0,6,automatic,four_wheel_drive,2,,large,crew_cab_pickup,22,16,1385
4211,ford,escort,2002,regular_unleaded,130.0,6,manual,front_wheel_drive,2,,compact,coupe,31,22,5657
11147,aston_martin,v8_vantage,2014,premium_unleaded_(required),420.0,6,manual,rear_wheel_drive,2,"exotic,high-performance",compact,convertible,19,13,259
3521,aston_martin,db7,2003,premium_unleaded_(required),420.0,6,manual,rear_wheel_drive,2,"exotic,high-performance",compact,convertible,17,10,259
3946,buick,encore,2016,regular_unleaded,138.0,6,automatic,front_wheel_drive,2,crossover,compact,4dr_suv,33,25,155
1227,honda,accord,2015,regular_unleaded,185.0,6,manual,front_wheel_drive,2,,midsize,sedan,34,24,2202
1079,audi,a4,2017,premium_unleaded_(recommended),252.0,6,automated_manual,front_wheel_drive,2,"luxury,performance",midsize,sedan,33,25,3105
4069,chevrolet,equinox,2016,regular_unleaded,182.0,6,automatic,front_wheel_drive,2,crossover,compact,4dr_suv,32,22,1385
10637,chevrolet,trailblazer,2009,regular_unleaded,285.0,6,automatic,rear_wheel_drive,2,,midsize,4dr_suv,20,14,1385
5073,mercedes-benz,g-class,2016,premium_unleaded_(required),621.0,6,automatic,four_wheel_drive,2,"factory_tuner,luxury,high-performance",midsize,4dr_suv,13,11,617
7770,infiniti,q50,2015,premium_unleaded_(recommended),328.0,6,automatic,all_wheel_drive,2,"luxury,performance",midsize,sedan,27,19,190
3996,gmc,envoy_xl,2006,regular_unleaded,291.0,6,automatic,four_wheel_drive,2,,large,4dr_suv,18,13,549
11562,volvo,xc60,2015,regular_unleaded,240.0,6,automatic,all_wheel_drive,2,"crossover,luxury",midsize,4dr_suv,25,18,870
11294,toyota,venza,2015,regular_unleaded,181.0,6,automatic,all_wheel_drive,2,crossover,midsize,wagon,26,20,2031
4379,ford,explorer_sport,2002,regular_unleaded,203.0,6,automatic,rear_wheel_drive,2,,midsize,2dr_suv,20,15,5657
5883,subaru,impreza,2016,regular_unleaded,148.0,6,automatic,all_wheel_drive,2,hatchback,compact,4dr_hatchback,37,28,640
9063,chrysler,sebring,2009,regular_unleaded,173.0,6,automatic,front_wheel_drive,2,flex_fuel,midsize,sedan,30,21,1013
925,porsche,911,2015,premium_unleaded_(required),520.0,6,automated_manual,all_wheel_drive,2,"luxury,high-performance",compact,convertible,24,17,1715
9675,mercedes-benz,slk-class,2014,premium_unleaded_(required),201.0,6,manual,rear_wheel_drive,2,luxury,compact,convertible,32,22,617
3796,ford,edge,2015,regular_unleaded,315.0,6,automatic,front_wheel_drive,2,crossover,midsize,4dr_suv,27,18,5657
6018,volkswagen,jetta_gli,2013,premium_unleaded_(recommended),210.0,6,manual,front_wheel_drive,2,performance,midsize,sedan,33,22,873
5871,subaru,impreza,2015,regular_unleaded,148.0,6,automatic,all_wheel_drive,2,hatchback,compact,4dr_hatchback,36,27,640
8462,buick,regal,2017,premium_unleaded_(recommended),259.0,6,automatic,all_wheel_drive,2,performance,midsize,sedan,27,19,155
2444,buick,century,2004,regular_unleaded,175.0,6,automatic,front_wheel_drive,2,,midsize,sedan,27,18,155
8469,buick,rendezvous,2007,regular_unleaded,196.0,6,automatic,front_wheel_drive,2,crossover,midsize,4dr_suv,23,17,155
2754,chevrolet,cobalt,2010,regular_unleaded,155.0,6,manual,front_wheel_drive,2,,compact,sedan,37,25,1385
6154,volkswagen,jetta,2017,premium_unleaded_(recommended),210.0,6,manual,front_wheel_drive,2,"factory_tuner,performance",midsize,sedan,33,23,873
1197,honda,accord_crosstour,2011,regular_unleaded,271.0,6,automatic,front_wheel_drive,2,"crossover,hatchback",midsize,4dr_hatchback,27,18,2202
7902,nissan,quest,2014,regular_unleaded,260.0,6,automatic,front_wheel_drive,2,,compact,passenger_minivan,25,19,2009
10212,toyota,tacoma,2016,regular_unleaded,159.0,6,automatic,rear_wheel_drive,2,,compact,crew_cab_pickup,23,19,2031
9413,gmc,sierra_classic_1500,1999,regular_unleaded,200.0,6,automatic,four_wheel_drive,2,,large,extended_cab_pickup,16,12,549
8477,suzuki,reno,2007,regular_unleaded,127.0,6,automatic,front_wheel_drive,2,hatchback,compact,4dr_hatchback,28,19,481
3357,mazda,cx-5,2014,regular_unleaded,184.0,6,automatic,front_wheel_drive,2,crossover,midsize,4dr_suv,32,25,586
5235,lamborghini,gallardo,2014,premium_unleaded_(required),570.0,6,automated_manual,all_wheel_drive,2,"exotic,factory_tuner,high-performance",compact,coupe,20,13,1158
3027,chevrolet,corvette,2017,premium_unleaded_(recommended),460.0,6,manual,rear_wheel_drive,2,high-performance,compact,coupe,25,16,1385
1392,bmw,alpina_b7,2014,premium_unleaded_(required),540.0,6,automatic,rear_wheel_drive,2,"factory_tuner,luxury,high-performance",large,sedan,25,16,3916
9469,chevrolet,silverado_1500_classic,2007,flex-fuel_(unleaded/e85),295.0,6,automatic,rear_wheel_drive,2,flex_fuel,large,extended_cab_pickup,19,14,1385
8153,dodge,ram_pickup_1500,2008,regular_unleaded,310.0,6,manual,four_wheel_drive,2,flex_fuel,large,regular_cab_pickup,16,12,1851
2458,dodge,challenger,2016,regular_unleaded,305.0,6,automatic,rear_wheel_drive,2,performance,large,coupe,30,19,1851
7386,mitsubishi,outlander,2016,regular_unleaded,166.0,6,automatic,all_wheel_drive,2,crossover,midsize,4dr_suv,29,24,436
10773,chevrolet,trax,2016,regular_unleaded,138.0,6,automatic,all_wheel_drive,2,crossover,compact,4dr_suv,31,24,1385
1892,volkswagen,beetle,2015,regular_unleaded,170.0,6,automatic,front_wheel_drive,2,hatchback,compact,2dr_hatchback,33,25,873
4387,ford,explorer_sport,2003,regular_unleaded,203.0,6,automatic,four_wheel_drive,2,,midsize,2dr_suv,18,14,5657
4687,ford,fiesta,2017,regular_unleaded,120.0,6,manual,front_wheel_drive,2,,compact,sedan,35,27,5657
10039,chevrolet,suburban,2015,flex-fuel_(unleaded/e85),355.0,6,automatic,rear_wheel_drive,2,flex_fuel,large,4dr_suv,23,16,1385
6910,lincoln,mkz,2017,regular_unleaded,,6,automatic,front_wheel_drive,2,"luxury,hybrid",midsize,sedan,38,41,61
4961,nissan,frontier,2015,regular_unleaded,261.0,6,manual,rear_wheel_drive,2,,compact,extended_cab_pickup,22,16,2009
7754,audi,q3,2016,premium_unleaded_(recommended),200.0,6,automatic,front_wheel_drive,2,"crossover,luxury",compact,4dr_suv,29,20,3105
357,nissan,370z,2017,premium_unleaded_(required),332.0,6,automatic,rear_wheel_drive,2,high-performance,compact,coupe,26,19,2009
6235,nissan,juke,2016,premium_unleaded_(recommended),188.0,6,automatic,all_wheel_drive,2,"crossover,hatchback,performance",compact,4dr_hatchback,31,26,2009
5014,nissan,frontier,2017,regular_unleaded,261.0,6,automatic,four_wheel_drive,2,,compact,crew_cab_pickup,21,15,2009
1882,volkswagen,beetle,2015,premium_unleaded_(recommended),210.0,6,automated_manual,front_wheel_drive,2,"hatchback,performance",compact,2dr_hatchback,30,24,873
102,nissan,240sx,1998,regular_unleaded,155.0,6,manual,rear_wheel_drive,2,performance,compact,coupe,25,20,2009
10675,ford,transit_connect,2017,flex-fuel_(unleaded/e85),169.0,6,automatic,front_wheel_drive,2,,compact,cargo_minivan,27,20,5657
9551,chevrolet,silverado_1500,2016,regular_unleaded,355.0,6,automatic,rear_wheel_drive,2,flex_fuel,large,crew_cab_pickup,23,16,1385
8840,mercedes-benz,s-class,2017,premium_unleaded_(required),621.0,6,automatic,rear_wheel_drive,2,"factory_tuner,luxury,high-performance",large,convertible,21,14,617
5305,mercedes-benz,gla-class,2017,premium_unleaded_(required),208.0,6,automatic,all_wheel_drive,2,"crossover,luxury",compact,4dr_suv,31,23,617
7400,chrysler,pacifica,2007,regular_unleaded,255.0,6,automatic,front_wheel_drive,2,crossover,large,wagon,22,15,1013
3178,cadillac,ct6,2016,regular_unleaded,335.0,6,automatic,all_wheel_drive,2,"luxury,high-performance",large,sedan,27,18,1624
3435,dodge,dakota,2008,regular_unleaded,210.0,6,manual,four_wheel_drive,2,,compact,crew_cab_pickup,19,15,1851
6611,bmw,m4,2017,premium_unleaded_(required),425.0,6,manual,rear_wheel_drive,2,"factory_tuner,luxury,high-performance",midsize,coupe,26,17,3916
9085,kia,sedona,2017,regular_unleaded,276.0,6,automatic,front_wheel_drive,2,,midsize,passenger_minivan,25,18,1720
8852,audi,s3,2016,premium_unleaded_(required),292.0,6,automated_manual,all_wheel_drive,2,"factory_tuner,luxury,high-performance",compact,sedan,31,23,3105
10471,acura,tl,2012,premium_unleaded_(required),305.0,6,manual,all_wheel_drive,2,"luxury,performance",midsize,sedan,25,17,204
3571,mitsubishi,diamante,2003,premium_unleaded_(required),210.0,6,automatic,front_wheel_drive,2,,midsize,sedan,23,16,436
7593,honda,pilot,2015,regular_unleaded,250.0,6,automatic,front_wheel_drive,2,crossover,midsize,4dr_suv,25,18,2202
6174,gmc,jimmy,2000,regular_unleaded,190.0,6,unknown,four_wheel_drive,2,,compact,2dr_suv,18,14,549
6102,volkswagen,jetta,2015,premium_unleaded_(recommended),210.0,6,manual,front_wheel_drive,2,"factory_tuner,performance",midsize,sedan,33,23,873
5369,volkswagen,golf_gti,2015,premium_unleaded_(recommended),210.0,6,automated_manual,front_wheel_drive,2,"hatchback,performance",compact,2dr_hatchback,33,25,873
